ncbiID	fullName	rank	parentID
41873	Mamiellaceae	family	13792
5270	Ustilago maydis	species	5269
2190	Methanocaldococcus jannaschii	species	196118
1799696	Sporidiobolaceae	family	231213
92860	Pleosporales	order	451868
8976	Galliformes	order	1549675
5062	Aspergillus oryzae	species	5052
273075	Thermoplasma acidophilum DSM 1728	norank	2303
387092	Nitratiruptor sp. SB155-2	species	269258
7240	Drosophila simulans	species	32351
714581	Trypetheliales	order	159987
197563	Mandibulata	norank	6656
372781	Fischerella muscicola SAG 1427-1 = PCC 73103	norank	92938
183710	Deinococcaceae	family	118964
6032	Apansporoblastina	suborder	6029
6127	Acropora	genus	6126
336809	Candidatus Sulcia	genus	313602
33317	Protostomia	norank	33213
135619	Oceanospirillales	order	1236
135615	Cardiobacteriales	order	1236
3701	Arabidopsis	genus	980083
3689	Populus	genus	238069
451866	Taphrinomycotina	subphylum	4890
1535326	Candida	genus	1535325
31245	Schistosomatidae	family	31244
5541	Thermomyces lanuginosus	species	5540
56107	Cylindrospermum stagnale PCC 7417	norank	142864
2	Bacteria	superkingdom	131567
6020	Oligohymenophorea	class	431838
64495	Rhizopus oryzae	species	4842
74546	Prochlorococcus marinus str. MIT 9312	norank	1219
65093	Halothece sp. PCC 7418	species	76023
5021	Leptosphaeria	genus	34374
6296	Onchocercidae	family	6295
381046	Lachancea thermotolerans	species	300275
29879	Neurospora discreta	species	5140
235629	Acalyphoideae	subfamily	3977
930090	Bipolaris oryzae ATCC 44560	norank	101162
5257	Ustilaginomycetes	class	452284
7069	Tribolium	genus	1304792
77225	Pteropodinae	subfamily	9398
9632	Ursidae	family	379584
35718	Chaetomiaceae	family	5139
915	Nitrosomonas europaea	species	914
167555	Prochlorococcus marinus str. NATL1A	norank	1219
403	Methylococcaceae	family	135618
2319	Methanopyrus	genus	183713
9605	Homo	genus	207598
586133	Nematocida parisii	species	586132
8464	Cryptodira	suborder	8459
40289	Tuberaceae	family	5185
4890	Ascomycota	phylum	451864
386487	Candidatus Ruthia magnifica	species	1541743
4764	Saprolegniaceae	family	4763
1047171	Zymoseptoria tritici	species	1047167
71241	stem eudicotyledons	norank	71240
196117	Methanocaldococcaceae	family	2182
9835	Camelidae	family	9834
29	Myxococcales	order	28221
81525	Monosiga	genus	81529
2158	Methanobacteriales	order	183925
1783276	DPANN group	norank	2157
5796	Coccidia	class	1280412
5820	Plasmodium	genus	1639119
27335	Verticillium albo-atrum	species	1036719
7586	Echinodermata	phylum	33511
766728	Meyerozyma	genus	766764
43733	Muscomorpha	infraorder	7203
28377	Anolis carolinensis	species	28376
518105	Culex pipiens complex	norank	53527
376911	Strepsirrhini	suborder	9443
3152	prasinophytes	norank	3041
37883	Patellariaceae	family	37882
5507	Fusarium oxysporum	species	171631
9784	Loxodonta	genus	9780
862507	Mus	subgenus	10088
272131	Nostoc punctiforme	species	1177
1140	Synechococcus elongatus PCC 7942	norank	32046
204969	Pelodiscus	genus	34907
44689	Dictyostelium discoideum	species	5782
9398	Pteropodidae	family	30559
45308	Melanomma	genus	45307
2157	Archaea	superkingdom	131567
4143	Lamiales	order	91888
548651	Dothidotthia	genus	548648
1288291	Anncaliia algerae PRA339	norank	723287
8352	Pipidae	family	30319
68295	Thermoanaerobacterales	order	186801
9979	Leporidae	family	9975
3711	Brassica rapa	species	3705
176299	Agrobacterium fabrum str. C58	norank	1176649
69657	Hyphomonadaceae	family	204455
281106	Argynnaceae	family	603422
1892249	Cyanothecaceae	family	1150
9360	Dasypus	genus	9359
35128	Thalassiosira pseudonana	species	35127
1293361	Cenchrinae	subtribe	147428
696747	Arthrospira platensis NIES-39	norank	118562
142796	Mycetozoa	norank	554915
554915	Amoebozoa	norank	2759
3245	Selaginellaceae	family	3244
1915381	Nannizzia	genus	34384
480118	Eremoneura	norank	43733
1124	Chlorogloeopsis fritschii	species	1123
143961	Aphidomorpha	norank	33380
53527	Culex	subgenus	7174
33511	Deuterostomia	norank	33213
1489843	Gadariae	norank	1489841
41197	Heteroneura	parvorder	41196
186801	Clostridia	class	1239
114380	Desulfurococcales	order	183924
55176	Sporormiaceae	family	92860
5501	Coccidioides immitis	species	5500
93059	Prochlorococcus marinus str. MIT 9211	norank	1219
5140	Neurospora	genus	5148
147569	Myriangium	genus	147568
7638	Euechinoidea	subclass	7625
81529	Salpingoecidae	family	1924738
9978	Ochotona princeps	species	9977
717774	Marinomonas mediterranea MMB-1	norank	119864
715340	Pleosporineae	suborder	92860
766	Rickettsiales	order	28211
705561	Polychaeton	genus	62133
31022	Tetraodontiformes	order	1489922
37617	Leishmania braziliensis species complex	speciesgroup	37616
1437183	Mesangiospermae	norank	3398
8492	Archosauria	norank	1329799
6342	Capitellida	order	105387
943	Ehrlichia	genus	942
405	Methylobacillus flagellatus	species	404
117569	Hyperoartia	norank	1476529
43179	Ictidomys tridecemlineatus	species	1141640
4894	Schizosaccharomycetaceae	family	34346
33342	Paraneoptera	infraclass	33340
41980	Metallosphaera	genus	118883
665024	Bipolaris maydis ATCC 48331	norank	5016
7459	Apis	genus	83321
38946	Paracoccidioides	genus	1593277
9401	Pteropus	genus	77225
1141640	Ictidomys	genus	337730
373984	Rivularia	genus	1185
91827	Gunneridae	norank	71240
6658	Branchiopoda	class	6657
5297	Puccinia graminis	species	5296
9369	Tenrecidae	family	311790
373994	Rivularia sp. PCC 7116	species	373984
186192	Marinithermus hydrothermalis	species	186191
554065	Chlorella variabilis	species	3071
5598	Alternaria	genus	28556
203124	Trichodesmium erythraeum IMS101	norank	1206
7090	Bombyx	genus	475327
1286322	Leishmaniinae	subfamily	5654
278021	Antonospora locustae	species	67677
1158	Oscillatoria	genus	1892254
5057	Aspergillus clavatus	species	5052
10228	Trichoplax adhaerens	species	10227
91347	Enterobacterales	order	1236
5259	Melampsoraceae	family	5258
314295	Hominoidea	superfamily	9526
372787	Fischerella thermalis	species	1190
